Tên xe,Tên hãng xe,Năm sản xuất,Nơi bán,Giá,Link sản phẩm
Lexus RX 350 - 2019,Lexus,2019,2680,TP HCM,https://bonbanh.com/xe-lexus-rx-350-2019-5525860
Hyundai Tucson 2.0 AT Tiêu chuẩn - 2024,Hyundai,2024,755,Hà Nội,https://bonbanh.com/xe-hyundai-tucson-2.0-at-tieu-chuan-2024-5545135
Volkswagen T-Cross Elegance 1.0 AT - 2023,Volkswagen,2023,879,TP HCM,https://bonbanh.com/xe-volkswagen-t-cross-elegance-1.0-at-2023-5529390
Hyundai Tucson 1.6 AT Turbo HTRAC Đặc biệt - 2024,Hyundai,2024,909,TP HCM,https://bonbanh.com/xe-hyundai-tucson-1.6-at-turbo-htrac-dac-biet-2024-5491015
Mercedes Benz S class S450 4Matic Luxury - 2023,Mercedes,2023,5379,Hà Nội,https://bonbanh.com/xe-mercedes_benz-s_class-s450-4matic-luxury-2023-4930416
Lexus RX 350 - 2019,Lexus,2019,3250,Hà Nội,https://bonbanh.com/xe-lexus-rx-350-2019-5583381
Toyota Camry 2.5Q - 2023,Toyota,2023,1350,TP HCM,https://bonbanh.com/xe-toyota-camry-2.5q-2023-5574432
Honda Brio RS - 2021,Honda,2021,399,Hà Nội,https://bonbanh.com/xe-honda-brio-rs-2021-5532911
Mercedes Benz GLC 200 4Matic - 2021,Mercedes,2021,1639,Hà Nội,https://bonbanh.com/xe-mercedes_benz-glc-200-4matic-2021-5521373
Mazda 3 1.5L Deluxe - 2022,Mazda,2022,555,Hà Nội,https://bonbanh.com/xe-mazda-3-1.5l-deluxe-2022-5519669
Hyundai Creta Đặc biệt 1.5 AT - 2024,Hyundai,2024,625,Hà Nội,https://bonbanh.com/xe-hyundai-creta-dac-biet-1.5-at-2024-5234851
Toyota Fortuner 2.7V 4X2 AT - 2016,Toyota,2016,535,Hà Nội,https://bonbanh.com/xe-toyota-fortuner-2.7v-4x2-at-2016-5592929
Ford Territory Titanium X 1.5 AT - 2024,Ford,2024,855,Hà Nội,https://bonbanh.com/xe-ford-territory-titanium-x-1.5-at-2024-5575689
LandRover Range Rover HSE 3.0 - 2015,LandRover,2015,2950,Hà Nội,https://bonbanh.com/xe-landrover-range_rover-hse-3.0-2015-5574554
BMW 3 Series 320i - 2010,BMW,2010,325,Hải Phòng,https://bonbanh.com/xe-bmw-3_series-320i-2010-5432443
Hyundai Accent 1.4 AT - 2020,Hyundai,2020,415,Hà Nội,https://bonbanh.com/xe-hyundai-accent-1.4-at-2020-5571600
Lexus RX 450h - 2022,Lexus,2022,4699,Hà Nội,https://bonbanh.com/xe-lexus-rx-450h-2022-5465183
Mitsubishi Xpander 1.5 AT - 2021,Mitsubishi,2021,530,Hà Nội,https://bonbanh.com/xe-mitsubishi-xpander-1.5-at-2021-5594238
Toyota Corolla Cross 1.8G - 2022,Toyota,2022,739,Hà Nội,https://bonbanh.com/xe-toyota-corolla_cross-1.8g-2022-5511845
Lexus RX 300 - 2021,Lexus,2021,2929,Hà Nội,https://bonbanh.com/xe-lexus-rx-300-2021-5382735
Mercedes Benz GLC 200 4Matic - 2023,Mercedes,2023,2270,Hà Nội,https://bonbanh.com/xe-mercedes_benz-glc-200-4matic-2023-5324093
Honda BR V G - 2024,Honda,2024,625,Hà Nội,https://bonbanh.com/xe-honda-br_v-g-2024-5276460
Nissan X trail 2.0 SL Luxury - 2020,Nissan,2020,660,Hà Nội,https://bonbanh.com/xe-nissan-x_trail-2.0-sl-luxury-2020-5402273
Toyota Vios E CVT - 2024,Toyota,2024,465,Hà Nội,https://bonbanh.com/xe-toyota-vios-e-cvt-2024-5445975
Kia Morning Van 1.0 AT - 2016,Kia,2016,226,Hà Nội,https://bonbanh.com/xe-kia-morning-van-1.0-at-2016-5584275
Toyota Corolla altis 1.8G AT - 2016,Toyota,2016,475,Hà Nội,https://bonbanh.com/xe-toyota-corolla_altis-1.8g-at-2016-5581016
Hyundai Grand Starex Van 2.4 MT - 2008,Hyundai,2008,240,Cần Thơ,https://bonbanh.com/xe-hyundai-grand_starex-van-2.4-mt-2008-5534112
Hyundai Kona 2.0 AT - 2020,Hyundai,2020,495,Hưng Yên,https://bonbanh.com/xe-hyundai-kona-2.0-at-2020-5499747
Audi A8 L 55 TFSI Quattro - 2022,Audi,2022,4100,TP HCM,https://bonbanh.com/xe-audi-a8-l-55-tfsi-quattro-2022-5331795
LandRover Range Rover Sport Supercharged - 2010,LandRover,2010,768,Hà Nội,https://bonbanh.com/xe-landrover-range_rover_sport-supercharged-2010-5312058
Porsche Panamera 4 Executive - 2021,Porsche,2021,6250,TP HCM,https://bonbanh.com/xe-porsche-panamera-4-executive-2021-5580732
Toyota Camry 2.0G - 2022,Toyota,2022,955,Vĩnh Phúc,https://bonbanh.com/xe-toyota-camry-2.0g-2022-5557127
Mazda 3 1.5L Luxury - 2022,Mazda,2022,605,Hà Nội,https://bonbanh.com/xe-mazda-3-1.5l-luxury-2022-5486304
Honda HRV RS - 2023,Honda,2023,875,Hà Nội,https://bonbanh.com/xe-honda-hrv-rs-2023-5594259
Mazda CX5 2.0 AT - 2013,Mazda,2013,395,Thái Nguyên,https://bonbanh.com/xe-mazda-cx5-2.0-at-2013-5594228
Mercedes Benz C class C200 Exclusive - 2021,Mercedes,2021,1199,Hà Nội,https://bonbanh.com/xe-mercedes_benz-c_class-c200-exclusive-2021-5527499
Audi A5 Sportback 2.0 - 2014,Audi,2014,608,Hà Nội,https://bonbanh.com/xe-audi-a5-sportback-2.0-2014-5511184
Ford Everest Titanium 2.0L 4x4 AT - 2018,Ford,2018,860,Hà Giang,https://bonbanh.com/xe-ford-everest-titanium-2.0l-4x4-at-2018-5384127
LandRover Range Rover Supercharged 5.0 - 2010,LandRover,2010,580,Hà Nội,https://bonbanh.com/xe-landrover-range_rover-supercharged-5.0-2010-5269422
Suzuki Ertiga Hybrid 1.5 AT - 2023,Suzuki,2023,538,TP HCM,https://bonbanh.com/xe-suzuki-ertiga-hybrid-1.5-at-2023-5160262
Suzuki Carry Pro - 2023,Suzuki,2023,318,Hà Nội,https://bonbanh.com/xe-suzuki-carry-pro-2023-3220312
Toyota Camry 2.5Q - 2023,Toyota,2023,1350,TP HCM,https://bonbanh.com/xe-toyota-camry-2.5q-2023-5574432
Honda Brio RS - 2021,Honda,2021,399,Hà Nội,https://bonbanh.com/xe-honda-brio-rs-2021-5532911
Mercedes Benz GLC 200 4Matic - 2021,Mercedes,2021,1639,Hà Nội,https://bonbanh.com/xe-mercedes_benz-glc-200-4matic-2021-5521373
Mazda 3 1.5L Deluxe - 2022,Mazda,2022,555,Hà Nội,https://bonbanh.com/xe-mazda-3-1.5l-deluxe-2022-5519669
Hyundai Creta Đặc biệt 1.5 AT - 2024,Hyundai,2024,625,Hà Nội,https://bonbanh.com/xe-hyundai-creta-dac-biet-1.5-at-2024-5234851
Mercedes Benz C class C200 - 2011,Mercedes,2011,335,Hà Nội,https://bonbanh.com/xe-mercedes_benz-c_class-c200-2011-5432993
Honda CRV L AWD - 2024,Honda,2024,1280,TP HCM,https://bonbanh.com/xe-honda-crv-l-awd-2024-5587337
Ford Focus 1.8 AT - 2011,Ford,2011,230,Hà Nội,https://bonbanh.com/xe-ford-focus-1.8-at-2011-5591136
Isuzu MU-X 1.9 4X2 AT - 2018,Isuzu,2018,580,TP HCM,https://bonbanh.com/xe-isuzu-mu-x-1.9-4x2-at-2018-5591811
Mitsubishi Mirage 1.2 CVT Eco - 2019,Mitsubishi,2019,320,Hà Nội,https://bonbanh.com/xe-mitsubishi-mirage-1.2-cvt-eco-2019-5591122
Ford Focus Titanium 1.5L - 2016,Ford,2016,385,Bình Dương,https://bonbanh.com/xe-ford-focus-titanium-1.5l-2016-5536362
VinFast VF6 Plus - 2024,VinFast,2024,734,Hà Nội,https://bonbanh.com/xe-vinfast-vf6-plus-2024-5468101
Porsche 718 Cayman 2.0 AT - 2019,Porsche,2019,3100,Hà Nội,https://bonbanh.com/xe-porsche-718-cayman-2.0-at-2019-5314374
MG ZS Luxury 1.5 AT 2WD - 2024,MG,2024,590,Hà Nội,https://bonbanh.com/xe-mg-zs-luxury-1.5-at-2wd-2024-5182550
Hyundai i10 1.2 AT - 2022,Hyundai,2022,389,Hà Nội,https://bonbanh.com/xe-hyundai-i10-1.2-at-2022-5570324
Toyota Fortuner 2.4L 4x2 AT - 2022,Toyota,2022,1025,Hà Nội,https://bonbanh.com/xe-toyota-fortuner-2.4l-4x2-at-2022-5574551
Chevrolet Captiva Revv LTZ 2.4 AT - 2016,Chevrolet,2016,445,Hà Nội,https://bonbanh.com/xe-chevrolet-captiva-revv-ltz-2.4-at-2016-5303118
Hyundai SantaFe Tiêu chuẩn 2.2L - 2024,Hyundai,2024,1069,Hà Nội,https://bonbanh.com/xe-hyundai-santafe-tieu-chuan-2.2l-2024-5234801
Toyota Innova 2.0G - 2020,Toyota,2020,648,TP HCM,https://bonbanh.com/xe-toyota-innova-2.0g-2020-5594263
Toyota Corolla Cross 1.8G - 2022,Toyota,2022,739,Hà Nội,https://bonbanh.com/xe-toyota-corolla_cross-1.8g-2022-5546680
Ford Ranger XLS 2.2L 4x2 MT - 2020,Ford,2020,499,Hà Nội,https://bonbanh.com/xe-ford-ranger-xls-2.2l-4x2-mt-2020-5587198
Kia Seltos Premium 1.4 AT - 2020,Kia,2020,605,TP HCM,https://bonbanh.com/xe-kia-seltos-premium-1.4-at-2020-5587020
Isuzu MU-X Limited 3.0L 4x2 AT - 2016,Isuzu,2016,555,Hà Nội,https://bonbanh.com/xe-isuzu-mu-x-limited-3.0l-4x2-at-2016-5581619
Nissan Terra V 2.5 AT 4WD - 2018,Nissan,2018,665,Hà Nội,https://bonbanh.com/xe-nissan-terra-v-2.5-at-4wd-2018-5551163
Toyota Camry 2.5Q - 2019,Toyota,2019,840,Hà Nội,https://bonbanh.com/xe-toyota-camry-2.5q-2019-5584036
Mazda CX3 Luxury 1.5 AT - 2022,Mazda,2022,585,Hà Nội,https://bonbanh.com/xe-mazda-cx3-luxury-1.5-at-2022-5526148
Mercedes Benz GLC 250 4Matic - 2018,Mercedes,2018,1140,Hà Nội,https://bonbanh.com/xe-mercedes_benz-glc-250-4matic-2018-5519216
Mercedes Benz C class C200 - 2017,Mercedes,2017,735,Hưng Yên,https://bonbanh.com/xe-mercedes_benz-c_class-c200-2017-5358539
Toyota Corolla altis 1.8G MT - 2010,Toyota,2010,268,Hà Nội,https://bonbanh.com/xe-toyota-corolla_altis-1.8g-mt-2010-5564318
Daewoo Lacetti CDX 1.6 AT - 2010,Daewoo,2010,168,Hà Nội,https://bonbanh.com/xe-daewoo-lacetti-cdx-1.6-at-2010-5574545
Suzuki Super Carry Van Blind Van - 2020,Suzuki,2020,195,Hà Nội,https://bonbanh.com/xe-suzuki-super_carry_van-blind-van-2020-5561470
Toyota Innova G - 2007,Toyota,2007,205,Hà Nội,https://bonbanh.com/xe-toyota-innova-g-2007-5592750
Nissan Teana 2.0 AT - 2010,Nissan,2010,265,Hà Nội,https://bonbanh.com/xe-nissan-teana-2.0-at-2010-5587058
Chevrolet Captiva LT 2.4 MT - 2007,Chevrolet,2007,135,Hà Nội,https://bonbanh.com/xe-chevrolet-captiva-lt-2.4-mt-2007-5593644
BMW X4 xDrive20i M Sport - 2023,BMW,2023,2882,Hà Nội,https://bonbanh.com/xe-bmw-x4-xdrive20i-m-sport-2023-5192165
Mazda 3 1.5 AT - 2018,Mazda,2018,456,Hà Nội,https://bonbanh.com/xe-mazda-3-1.5-at-2018-5591336
Kia Rondo GAT - 2017,Kia,2017,428,Bình Dương,https://bonbanh.com/xe-kia-rondo-gat-2017-5558917
Mercedes Benz C class C200 Exclusive - 2019,Mercedes,2019,999,TP HCM,https://bonbanh.com/xe-mercedes_benz-c_class-c200-exclusive-2019-5553251
Mazda 3 1.5L Deluxe - 2022,Mazda,2022,576,Bình Dương,https://bonbanh.com/xe-mazda-3-1.5l-deluxe-2022-5530521
Porsche Macan 2.0 - 2022,Porsche,2022,3579,TP HCM,https://bonbanh.com/xe-porsche-macan-2.0-2022-5527830
Toyota Veloz Cross 1.5 CVT - 2022,Toyota,2022,615,Hà Nội,https://bonbanh.com/xe-toyota-veloz-cross-1.5-cvt-2022-5586940
Mercedes Benz GLA class GLA 250 4Matic - 2016,Mercedes,2016,839,TP HCM,https://bonbanh.com/xe-mercedes_benz-gla_class-gla-250-4matic-2016-5586832
Honda CRV G - 2019,Honda,2019,725,Hà Nội,https://bonbanh.com/xe-honda-crv-g-2019-5553393
Toyota Camry 2.5Q - 2015,Toyota,2015,599,Hà Nội,https://bonbanh.com/xe-toyota-camry-2.5q-2015-5524365
Ford Everest Titanium 2.0L 4x2 AT - 2022,Ford,2022,1199,Hà Nội,https://bonbanh.com/xe-ford-everest-titanium-2.0l-4x2-at-2022-5502120
Mazda CX5 2.0 Luxury - 2019,Mazda,2019,675,Hà Nội,https://bonbanh.com/xe-mazda-cx5-2.0-luxury-2019-5526260
VinFast Fadil Cao cấp 1.4 AT - 2022,VinFast,2022,355,Hà Giang,https://bonbanh.com/xe-vinfast-fadil-cao-cap-1.4-at-2022-5585653
Honda CRV 2.4 AT - 2015,Honda,2015,535,Hà Nội,https://bonbanh.com/xe-honda-crv-2.4-at-2015-5584520
Toyota Vios E 1.5 MT - 2022,Toyota,2022,450,TP HCM,https://bonbanh.com/xe-toyota-vios-e-1.5-mt-2022-5576658
Ford Explorer Limited 2.3L EcoBoost - 2018,Ford,2018,1188,Hà Nội,https://bonbanh.com/xe-ford-explorer-limited-2.3l-ecoboost-2018-5562600
MG ZS Standard 1.5 AT 2WD - 2024,MG,2024,438,Hà Nội,https://bonbanh.com/xe-mg-zs-standard-1.5-at-2wd-2024-5490941
Toyota Yaris 1.3G - 2014,Toyota,2014,370,TP HCM,https://bonbanh.com/xe-toyota-yaris-1.3g-2014-5582301
Mitsubishi Outlander 2.0 CVT - 2018,Mitsubishi,2018,590,Hà Nội,https://bonbanh.com/xe-mitsubishi-outlander-2.0-cvt-2018-5567186
Toyota Fortuner 2.7V 4x2 AT - 2015,Toyota,2015,495,Hà Nội,https://bonbanh.com/xe-toyota-fortuner-2.7v-4x2-at-2015-5564369
Kia K5 Premium 2.0 AT - 2022,Kia,2022,799,Hà Nội,https://bonbanh.com/xe-kia-k5-premium-2.0-at-2022-5553367
Porsche 718 Cayman 2.0 AT - 2021,Porsche,2021,3750,Hà Nội,https://bonbanh.com/xe-porsche-718-cayman-2.0-at-2021-5544813
Mazda CX3 Luxury 1.5 AT - 2022,Mazda,2022,585,Hà Nội,https://bonbanh.com/xe-mazda-cx3-luxury-1.5-at-2022-5526148
Mercedes Benz GLC 250 4Matic - 2018,Mercedes,2018,1140,Hà Nội,https://bonbanh.com/xe-mercedes_benz-glc-250-4matic-2018-5519216
Mercedes Benz C class C200 - 2017,Mercedes,2017,735,Hưng Yên,https://bonbanh.com/xe-mercedes_benz-c_class-c200-2017-5358539
Toyota Corolla altis 1.8G MT - 2010,Toyota,2010,268,Hà Nội,https://bonbanh.com/xe-toyota-corolla_altis-1.8g-mt-2010-5564318
Daewoo Lacetti CDX 1.6 AT - 2010,Daewoo,2010,168,Hà Nội,https://bonbanh.com/xe-daewoo-lacetti-cdx-1.6-at-2010-5574545
Suzuki Super Carry Van Blind Van - 2020,Suzuki,2020,195,Hà Nội,https://bonbanh.com/xe-suzuki-super_carry_van-blind-van-2020-5561470
Toyota Innova G - 2007,Toyota,2007,205,Hà Nội,https://bonbanh.com/xe-toyota-innova-g-2007-5592750
Nissan Teana 2.0 AT - 2010,Nissan,2010,265,Hà Nội,https://bonbanh.com/xe-nissan-teana-2.0-at-2010-5587058
Chevrolet Captiva LT 2.4 MT - 2007,Chevrolet,2007,135,Hà Nội,https://bonbanh.com/xe-chevrolet-captiva-lt-2.4-mt-2007-5593644
Ford Explorer Limited 2.3L EcoBoost - 2019,Ford,2019,1230,Hà Nội,https://bonbanh.com/xe-ford-explorer-limited-2.3l-ecoboost-2019-5568102
Toyota Vios 1.5E - 2017,Toyota,2017,316,Hà Nội,https://bonbanh.com/xe-toyota-vios-1.5e-2017-5564757
Kia Rondo GAT - 2015,Kia,2015,412,Hà Nội,https://bonbanh.com/xe-kia-rondo-gat-2015-5563219
Jaguar XJ series XJL 5.0 Supercharged - 2014,Jaguar,2014,1450,TP HCM,https://bonbanh.com/xe-jaguar-xj_series-xjl-5.0-supercharged-2014-5557578
Toyota Fortuner 2.7V 4x2 AT - 2012,Toyota,2012,380,Hà Nội,https://bonbanh.com/xe-toyota-fortuner-2.7v-4x2-at-2012-5550451
Mazda CX5 2.0 Luxury - 2019,Mazda,2019,675,Hà Nội,https://bonbanh.com/xe-mazda-cx5-2.0-luxury-2019-5526260
VinFast Fadil Cao cấp 1.4 AT - 2022,VinFast,2022,355,Hà Giang,https://bonbanh.com/xe-vinfast-fadil-cao-cap-1.4-at-2022-5585653
Honda CRV 2.4 AT - 2015,Honda,2015,535,Hà Nội,https://bonbanh.com/xe-honda-crv-2.4-at-2015-5584520
Toyota Vios E 1.5 MT - 2022,Toyota,2022,450,TP HCM,https://bonbanh.com/xe-toyota-vios-e-1.5-mt-2022-5576658
Ford Explorer Limited 2.3L EcoBoost - 2018,Ford,2018,1188,Hà Nội,https://bonbanh.com/xe-ford-explorer-limited-2.3l-ecoboost-2018-5562600
MG ZS Standard 1.5 AT 2WD - 2024,MG,2024,438,Hà Nội,https://bonbanh.com/xe-mg-zs-standard-1.5-at-2wd-2024-5490941
Toyota Yaris 1.3G - 2014,Toyota,2014,370,TP HCM,https://bonbanh.com/xe-toyota-yaris-1.3g-2014-5582301
Mitsubishi Outlander 2.0 CVT - 2018,Mitsubishi,2018,590,Hà Nội,https://bonbanh.com/xe-mitsubishi-outlander-2.0-cvt-2018-5567186
Toyota Fortuner 2.7V 4x2 AT - 2015,Toyota,2015,495,Hà Nội,https://bonbanh.com/xe-toyota-fortuner-2.7v-4x2-at-2015-5564369
Kia K5 Premium 2.0 AT - 2022,Kia,2022,799,Hà Nội,https://bonbanh.com/xe-kia-k5-premium-2.0-at-2022-5553367
Porsche 718 Cayman 2.0 AT - 2021,Porsche,2021,3750,Hà Nội,https://bonbanh.com/xe-porsche-718-cayman-2.0-at-2021-5544813
Mazda CX3 Luxury 1.5 AT - 2022,Mazda,2022,585,Hà Nội,https://bonbanh.com/xe-mazda-cx3-luxury-1.5-at-2022-5526148
Mercedes Benz GLC 250 4Matic - 2018,Mercedes,2018,1140,Hà Nội,https://bonbanh.com/xe-mercedes_benz-glc-250-4matic-2018-5519216
Mercedes Benz C class C200 - 2017,Mercedes,2017,735,Hưng Yên,https://bonbanh.com/xe-mercedes_benz-c_class-c200-2017-5358539
Toyota Corolla altis 1.8G MT - 2010,Toyota,2010,268,Hà Nội,https://bonbanh.com/xe-toyota-corolla_altis-1.8g-mt-2010-5564318
Kia Sonet Premium 1.5 AT - 2022,Kia,2022,570,Hà Nội,https://bonbanh.com/xe-kia-sonet-premium-1.5-at-2022-5557133
Mercedes Benz C class C300 AMG - 2019,Mercedes,2019,1120,Hải Phòng,https://bonbanh.com/xe-mercedes_benz-c_class-c300-amg-2019-5534117
Mazda 3 1.6 AT - 2012,Mazda,2012,295,Bến Tre,https://bonbanh.com/xe-mazda-3-1.6-at-2012-5522349
Mazda CX5 2.5 AT - 2016,Mazda,2016,535,Hà Nội,https://bonbanh.com/xe-mazda-cx5-2.5-at-2016-5520910
Kia Carnival Signature 2.2D - 2022,Kia,2022,1360,Hà Nội,https://bonbanh.com/xe-kia-carnival-signature-2.2d-2022-5584563
Porsche Macan 2.0 - 2021,Porsche,2021,2738,TP HCM,https://bonbanh.com/xe-porsche-macan-2.0-2021-5574193
Mercedes Benz V class V250 Luxury - 2022,Mercedes,2022,2198,TP HCM,https://bonbanh.com/xe-mercedes_benz-v_class-v250-luxury-2022-5574089
Mazda CX5 Premium 2.0 AT - 2022,Mazda,2022,830,Hà Nội,https://bonbanh.com/xe-mazda-cx5-premium-2.0-at-2022-5541130
Mazda 6 2.0 AT - 2016,Mazda,2016,450,Hà Nội,https://bonbanh.com/xe-mazda-6-2.0-at-2016-5535433
Suzuki Swift RS - 2016,Suzuki,2016,330,Hà Nội,https://bonbanh.com/xe-suzuki-swift-rs-2016-5514516
Hyundai Accent 1.4 AT - 2024,Hyundai,2024,469,Hà Nội,https://bonbanh.com/xe-hyundai-accent-1.4-at-2024-5234915
VinFast VF5 Plus - 2023,VinFast,2023,468,TP HCM,https://bonbanh.com/xe-vinfast-vf5-plus-2023-5062188
Mercedes Benz GLC 300 4Matic - 2022,Mercedes,2022,1838,TP HCM,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2022-5569751
Toyota Vios 1.5E MT - 2019,Toyota,2019,348,Hà Nội,https://bonbanh.com/xe-toyota-vios-1.5e-mt-2019-5594272
Ford Everest Ambiente 2.0L 4x2 AT - 2023,Ford,2023,1079,Hà Nội,https://bonbanh.com/xe-ford-everest-ambiente-2.0l-4x2-at-2023-5594244
Mercedes Benz C class C300 AMG - 2024,Mercedes,2024,1889,TP HCM,https://bonbanh.com/xe-mercedes_benz-c_class-c300-amg-2024-5553720
Mercedes Benz GLC 300 4Matic - 2017,Mercedes,2017,1079,Hà Nội,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2017-5564261
Mercedes Benz GL 350 BlueTec 4Matic - 2009,Mercedes,2009,675,Hà Nội,https://bonbanh.com/xe-mercedes_benz-gl-350-bluetec-4matic-2009-5563451
Toyota Vios G 1.5 CVT - 2022,Toyota,2022,515,TP HCM,https://bonbanh.com/xe-toyota-vios-g-1.5-cvt-2022-5576409
Honda City G 1.5 AT - 2023,Honda,2023,462,TP HCM,https://bonbanh.com/xe-honda-city-g-1.5-at-2023-5468069
Mercedes Benz C class C300 AMG - 2019,Mercedes,2019,1138,Hà Nội,https://bonbanh.com/xe-mercedes_benz-c_class-c300-amg-2019-5538249
Mercedes Benz G class G63 AMG - 2014,Mercedes,2014,4796,Hà Nội,https://bonbanh.com/xe-mercedes_benz-g_class-g63-amg-2014-5582288
Subaru Forester 2.0i-S EyeSight - 2021,Subaru,2021,850,Hà Nội,https://bonbanh.com/xe-subaru-forester-2.0i-s-eyesight-2021-5546234
Toyota Land Cruiser 3.5 V6 - 2023,Toyota,2023,4286,Hà Nội,https://bonbanh.com/xe-toyota-land_cruiser-3.5-v6-2023-5379698
Lexus LX 570 - 2015,Lexus,2015,3350,Hà Nội,https://bonbanh.com/xe-lexus-lx-570-2015-5577435
