Tên hãng xe,Năm sản xuất,Tỉnh,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Màu ngoại thất,Màu nội thất,Số chỗ ngồi,Số cửa,Dẫn động,Loại động cơ,Dung tích,Giá
Audi,2021,Hà Nội,20000.0,Nhập khẩu,Crossover,Số tự động,Trắng,Nâu,5,5,FWD,Xăng,1.4,1430.0
Audi,2022,Hà Nội,0.0,Nhập khẩu,Crossover,Số tự động,Trắng,Màu khác,5,5,FWD,Xăng,1.4,1400.0
Audi,2009,Hà Nội,130000.0,Nhập khẩu,SUV,Số tự động,Trắng,Nâu,5,5,AWD,Xăng,3.2,455.0
Audi,2021,Hà Nội,27000.0,Nhập khẩu,SUV,Số tự động,Đen,Đen,5,5,AWD,Xăng,2.0,2060.0
Audi,2021,Hà Nội,27000.0,Nhập khẩu,SUV,Số tự động,Đen,Kem,5,5,AWD,Xăng,2.0,2050.0
Audi,2013,Hà Nội,100000.0,Nhập khẩu,Sedan,Số tự động,Trắng,Kem,5,4,AWD,Xăng,2.0,580.0
Audi,2016,Hà Nội,83000.0,Nhập khẩu,Crossover,Số tự động,Trắng,Nâu,5,5,AWD,Xăng,2.0,655.0
Audi,2022,TP HCM,0.0,Nhập khẩu,Sedan,Số tự động,Xanh,Nâu,5,4,FWD,Xăng,2.0,2084.0
Audi,2014,Hà Nội,64000.0,Nhập khẩu,Sedan,Số tự động,Đen,Nâu,5,4,FWD,Xăng,2.0,630.0
Audi,2021,Hà Nội,26686.0,Nhập khẩu,Crossover,Số tự động,Trắng,Nâu,5,5,FWD,Xăng,1.4,1425.0
Audi,2021,TP HCM,27000.0,Nhập khẩu,SUV,Số tự động,Đen,Ghi,5,5,AWD,Xăng,2.0,2050.0
Audi,2014,TP HCM,70000.0,Nhập khẩu,Sedan,Số tự động,Đen,Đen,5,4,AWD,Xăng,3.0,1098.0
Audi,2016,Hà Nội,68000.0,Nhập khẩu,SUV,Số tự động,Trắng,Đen,5,5,AWD,Xăng,2.0,840.0
Audi,2016,TP HCM,98000.0,Nhập khẩu,SUV,Số tự động,Trắng,Nâu,7,5,AWD,Xăng,2.0,1349.0
Audi,2014,Nam Định,84000.0,Nhập khẩu,Sedan,Số tự động,Trắng,Nâu,5,4,FWD,Xăng,1.8,425.0
Audi,2022,TP HCM,0.0,Nhập khẩu,Sedan,Số tự động,Xám,Đen,5,4,FWD,Xăng,2.0,1930.0
Audi,2020,Hà Nội,35000.0,Nhập khẩu,SUV,Số tự động,Trắng,Nâu,5,5,AWD,Xăng,3.0,3200.0
Audi,2023,Hà Nội,0.0,Nhập khẩu,Sedan,Số tự động,Đen,Đen,5,4,AWD,Xăng,3.0,4850.0
Audi,2014,Hà Nội,90000.0,Nhập khẩu,Crossover,Số tự động,Xanh,Đen,5,5,AWD,Xăng,2.0,550.0
Audi,2014,Hà Nội,100000.0,Nhập khẩu,Sedan,Số tự động,Đỏ,Kem,5,4,AWD,Xăng,2.0,609.0
Audi,2022,TP HCM,17000.0,Nhập khẩu,Sedan,Số tự động,Đen,Nâu,5,4,FWD,Xăng,2.0,1468.0
Audi,2010,Hà Nội,98000.0,Nhập khẩu,Coupe,Số tự động,Trắng,Kem,4,2,AWD,Xăng,2.0,438.0
Audi,2020,Hà Nội,49800.0,Nhập khẩu,Crossover,Số tự động,Trắng,Nâu,5,5,FWD,Xăng,1.4,1300.0
Audi,2015,Hà Nội,90000.0,Nhập khẩu,SUV,Số tự động,Trắng,Kem,5,5,AWD,Xăng,2.0,715.0
Audi,2023,TP HCM,0.0,Nhập khẩu,Crossover,Số tự động,Xám,Nâu,5,5,FWD,Xăng,1.4,1800.0
Audi,2020,TP HCM,30000.0,Nhập khẩu,Sedan,Số tự động,Đen,Đen,5,4,AWD,Xăng,3.0,2999.0
Audi,2017,Hà Nội,50000.0,Nhập khẩu,SUV,Số tự động,Trắng,Nâu,5,5,AWD,Xăng,2.0,1220.0
Audi,2021,Hà Nội,30000.0,Nhập khẩu,SUV,Số tự động,Trắng,Nâu,5,5,AWD,Xăng,3.0,3195.0
Audi,2021,Hà Nội,44000.0,Nhập khẩu,SUV,Số tự động,Đen,Ghi,5,5,AWD,Xăng,2.0,2045.0
Audi,2010,TP HCM,46680.0,Nhập khẩu,Sedan,Số tự động,Đen,Kem,5,4,AWD,Xăng,4.2,886.0
Audi,2021,Hà Nội,0.0,Nhập khẩu,Sedan,Số tự động,Trắng,Màu khác,5,4,FWD,Xăng,2.0,1650.0
Audi,2008,TP HCM,86700.0,Nhập khẩu,SUV,Số tự động,Đen,Đen,7,5,AWD,Xăng,4.2,330.0
Audi,2021,TP HCM,18000.0,Nhập khẩu,SUV,Số tự động,Trắng,Đen,5,5,AWD,Xăng,3.0,3555.0
Audi,2023,TP HCM,0.0,Nhập khẩu,Sedan,Số tự động,Xanh,Nâu,5,4,FWD,Xăng,2.0,2080.0
Audi,2022,TP HCM,0.0,Nhập khẩu,Sedan,Số tự động,Đen,Nâu,5,4,FWD,Xăng,2.0,1600.0
Audi,2022,TP HCM,0.0,Nhập khẩu,Sedan,Số tự động,Đỏ,Đen,5,4,FWD,Xăng,2.0,1600.0
Audi,2023,TP HCM,0.0,Nhập khẩu,Sedan,Số tự động,Xám,Đen,5,4,FWD,Xăng,2.0,2080.0
Audi,2022,TP HCM,0.0,Nhập khẩu,Sedan,Số tự động,Đen,Nâu,5,4,FWD,Xăng,2.0,1600.0
Audi,2020,Hà Nội,16000.0,Nhập khẩu,SUV,Số tự động,Xanh,Đen,5,5,AWD,Xăng,3.0,3568.0
Audi,2020,Hà Nội,25000.0,Nhập khẩu,SUV,Số tự động,Trắng,Nâu,7,5,AWD,Xăng,3.0,2699.0
Audi,2018,Hà Nội,50000.0,Nhập khẩu,Crossover,Số tự động,Trắng,Nâu,5,5,AWD,Xăng,2.0,750.0
Audi,2020,Hà Nội,30000.0,Nhập khẩu,SUV,Số tự động,Đen,Nâu,5,5,AWD,Xăng,3.0,3090.0
Audi,2011,Hà Nội,160000.0,Nhập khẩu,SUV,Số tự động,Trắng,Nâu,5,5,AWD,Xăng,2.0,445.0
Audi,2013,TP HCM,51000.0,Nhập khẩu,Sedan,Số tự động,Trắng,Đen,5,4,FWD,Xăng,1.8,535.0
Audi,2011,Bến Tre,82000.0,Nhập khẩu,Sedan,Số tự động,Trắng,Đen,5,4,AWD,Xăng,3.0,920.0
Audi,2023,TP HCM,0.0,Nhập khẩu,Sedan,Số tự động,Xanh,Nâu,5,4,AWD,Xăng,3.0,4100.0
Audi,2015,Hà Nội,80000.0,Nhập khẩu,Sedan,Số tự động,Đỏ,Kem,5,4,AWD,Xăng,2.0,596.0
Audi,2013,Hà Nội,13000.0,Nhập khẩu,Crossover,Số tự động,Trắng,Kem,5,5,AWD,Xăng,2.0,590.0
Audi,2017,Hà Nội,30000.0,Nhập khẩu,Sedan,Số tự động,Đen,Đen,5,4,AWD,Xăng,2.0,1399.0
Audi,2009,Hà Nội,120000.0,Nhập khẩu,Coupe,Số tự động,Trắng,Xám,4,2,AWD,Xăng,2.0,435.0
Audi,2009,Hà Nội,100000.0,Nhập khẩu,Coupe,Số tự động,Trắng,Đen,4,2,AWD,Xăng,2.0,425.0
Audi,2024,TP HCM,0.0,Nhập khẩu,Sedan,Số tự động,Trắng,Nâu,5,4,AWD,Xăng,2.0,2950.0
Audi,2020,Hà Nội,19000.0,Nhập khẩu,Sedan,Số tự động,Trắng,Nâu,5,4,AWD,Xăng,4.0,8600.0
Audi,2017,Hà Nội,60000.0,Nhập khẩu,Sedan,Số tự động,Xám,Đen,5,4,AWD,Xăng,2.0,1399.0
Audi,2021,Hà Nội,0.0,Nhập khẩu,SUV,Số tự động,Xanh,Màu khác,7,5,AWD,Xăng,2.0,3620.0
Audi,2015,Hà Nội,60000.0,Nhập khẩu,Coupe,Số tự động,Đen,Đen,2,2,AWD,Xăng,5.2,6499.0
Audi,2021,TP HCM,11000.0,Nhập khẩu,Sedan,Số tự động,Đen,Đen,5,4,FWD,Xăng,2.0,1799.0
Audi,2017,Hà Nội,48000.0,Nhập khẩu,Coupe,Số tự động,Đỏ,Đen,4,2,FWD,Xăng,2.0,1538.0
Audi,2023,TP HCM,0.0,Nhập khẩu,Sedan,Số tự động,Trắng,Trắng,5,4,FWD,Xăng,2.0,2080.0
Audi,2020,Hà Nội,22000.0,Nhập khẩu,Sedan,Số tự động,Trắng,Nâu,5,4,AWD,Xăng,4.0,8600.0
Audi,2020,Hà Nội,30000.0,Nhập khẩu,Crossover,Số tự động,Trắng,Nâu,5,5,FWD,Xăng,1.4,1299.0
Audi,2010,Hà Nội,68000.0,Nhập khẩu,Hatchback,Số tự động,Đỏ,Nhiều màu,4,2,FWD,Xăng,1.4,360.0
Audi,2014,Hà Nội,95000.0,Nhập khẩu,Sedan,Số tự động,Đen,Nâu,5,4,FWD,Xăng,1.8,435.0
Audi,2012,Hà Nội,97000.0,Nhập khẩu,Crossover,Số tự động,Trắng,Đen,5,5,AWD,Xăng,2.0,459.0
Audi,2020,Hà Nội,50000.0,Nhập khẩu,Crossover,Số tự động,Trắng,Nâu,5,5,FWD,Xăng,1.4,1325.0
Audi,2022,TP HCM,0.0,Nhập khẩu,Sedan,Số tự động,Trắng,Trắng,5,4,AWD,Xăng,3.0,4100.0
Audi,2020,Hà Nội,22222.0,Nhập khẩu,Sedan,Số tự động,Trắng,Nâu,5,4,AWD,Xăng,4.0,6900.0
Audi,2015,Hà Nội,90000.0,Nhập khẩu,SUV,Số tự động,Trắng,Kem,5,5,AWD,Xăng,2.0,739.0
Audi,2022,TP HCM,0.0,Nhập khẩu,Sedan,Số tự động,Trắng,Đen,5,4,AWD,Xăng,3.0,4100.0
Audi,2016,Hà Nội,80000.0,Nhập khẩu,Sedan,Số tự động,Kem,Kem,5,4,AWD,Xăng,2.0,780.0
Audi,2017,Đà Nẵng,20000.0,Nhập khẩu,Coupe,Số tự động,Đen,Đen,4,2,FWD,Xăng,2.0,1750.0
Audi,2021,Cần Thơ,30000.0,Nhập khẩu,Sedan,Số tự động,Trắng,Đen,5,4,FWD,Xăng,2.0,1720.0
Audi,2022,Hà Nội,0.0,Nhập khẩu,Sedan,Số tự động,Xanh,Đen,5,4,AWD,Xăng,3.0,4750.0
Audi,2018,Thái Bình,5000.0,Nhập khẩu,SUV,Số tự động,Đen,Nâu,5,5,AWD,Xăng,2.0,1730.0
Audi,2021,TP HCM,20000.0,Nhập khẩu,SUV,Số tự động,Trắng,Đen,5,5,AWD,Xăng,3.0,3550.0
Audi,2007,Đà Nẵng,132000.0,Nhập khẩu,SUV,Số tự động,Cát,Đen,7,5,AWD,Xăng,3.6,368.0
Audi,2015,Hà Nội,68000.0,Nhập khẩu,Sedan,Số tự động,Đen,Kem,5,4,FWD,Xăng,1.8,710.0
Audi,2017,Hà Nội,60000.0,Nhập khẩu,Sedan,Số tự động,Đen,Đen,5,4,FWD,Xăng,2.0,790.0
Audi,2022,TP HCM,0.0,Nhập khẩu,Sedan,Số tự động,Trắng,Trắng,5,4,FWD,Xăng,2.0,1930.0
Audi,2021,Hà Nội,27000.0,Nhập khẩu,SUV,Số tự động,Đen,Nâu,5,5,AWD,Xăng,3.0,3190.0
Audi,2021,TP HCM,9600.0,Nhập khẩu,Sedan,Số tự động,Đen,Đen,5,4,FWD,Xăng,2.0,1799.0
Audi,2016,Hà Nội,50000.0,Nhập khẩu,Crossover,Số tự động,Xanh,Nâu,5,5,AWD,Xăng,2.0,699.0
Audi,2008,Hà Nội,64000.0,Nhập khẩu,Convertible/Cabriolet,Số tự động,Trắng,Xanh,2,2,AWD,Xăng,2.0,729.0
Audi,2008,TP HCM,77000.0,Nhập khẩu,SUV,Số tự động,Bạc,Đen,7,5,AWD,Xăng,3.6,388.0
Audi,2013,Hà Nội,10000.0,Nhập khẩu,Crossover,Số tự động,Trắng,Kem,5,5,AWD,Xăng,2.0,590.0
Audi,2020,Hà Nội,20000.0,Nhập khẩu,Sedan,Số tự động,Trắng,Nâu,5,4,AWD,Xăng,4.0,7999.0
Audi,2011,Hà Nội,175000.0,Nhập khẩu,SUV,Số tự động,Nâu,Đồng,5,5,AWD,Xăng,2.0,388.0
Audi,2010,Hà Nội,10000.0,Nhập khẩu,Hatchback,Số tự động,Kem,Đen,4,3,FWD,Xăng,1.4,350.0
Audi,2016,Hà Nội,60000.0,Nhập khẩu,SUV,Số tự động,Trắng,Nâu,5,5,AWD,Xăng,2.0,850.0
Audi,2011,Hà Nội,11000.0,Nhập khẩu,Sedan,Số tự động,Nâu,Đen,5,4,AWD,Xăng,2.0,355.0
Audi,2012,Hà Nội,80000.0,Nhập khẩu,SUV,Số tự động,Trắng,Đen,7,5,AWD,Xăng,3.0,720.0
Audi,2013,TP HCM,51115.0,Nhập khẩu,Sedan,Số tự động,Trắng,Đen,5,4,FWD,Xăng,1.8,535.0
Audi,2014,Hà Nội,88999.0,Nhập khẩu,Sedan,Số tự động,Trắng,Đen,5,4,AWD,Xăng,2.0,620.0
Audi,2017,TP HCM,65000.0,Nhập khẩu,Crossover,Số tự động,Đỏ,Đen,5,5,FWD,Xăng,1.4,850.0
Audi,2011,Hà Nội,130000.0,Nhập khẩu,Sedan,Số tự động,Nâu,Đen,5,4,FWD,Xăng,1.8,345.0
Audi,2014,TP HCM,80000.0,Nhập khẩu,SUV,Số tự động,Trắng,Nâu,7,5,AWD,Xăng,3.0,960.0
Audi,2016,Hà Nội,80000.0,Nhập khẩu,Sedan,Số tự động,Đen,Đen,5,4,AWD,Xăng,2.0,779.0
Audi,2008,TP HCM,91000.0,Nhập khẩu,Coupe,Số tự động,Xanh,Nâu,4,2,AWD,Xăng,2.0,589.0
Audi,2012,TP HCM,65000.0,Nhập khẩu,SUV,Số tự động,Trắng,Đen,7,5,AWD,Xăng,3.0,720.0
Audi,2014,TP HCM,50000.0,Nhập khẩu,Sedan,Số tự động,Trắng,Đen,5,4,FWD,Xăng,1.8,539.0
Audi,2010,Hà Nội,120000.0,Nhập khẩu,SUV,Số tự động,Xám,Kem,5,5,AWD,Xăng,2.0,475.0
Audi,2014,Hà Nội,100000.0,Nhập khẩu,Crossover,Số tự động,Xanh,Đen,5,5,AWD,Xăng,2.0,545.0
Audi,2016,Hà Nội,71000.0,Nhập khẩu,Sedan,Số tự động,Trắng,Nâu,5,4,FWD,Xăng,1.8,780.0
Audi,2014,Hà Nội,100.0,Nhập khẩu,SUV,Số tự động,Trắng,Kem,7,5,AWD,Xăng,3.0,880.0
Audi,2022,TP HCM,0.0,Nhập khẩu,Crossover,Số tự động,Xanh,Đen,5,5,FWD,Xăng,1.4,1350.0
Audi,2010,Hà Nội,98765.0,Nhập khẩu,Hatchback,Số tự động,Đỏ,Ghi,4,3,FWD,Xăng,1.4,335.0
Audi,2022,Hà Nội,32000.0,Nhập khẩu,SUV,Số tự động,Đen,Đen,5,5,AWD,Xăng,2.0,2050.0
Audi,2023,Hà Nội,0.0,Nhập khẩu,Sedan,Số tự động,Xanh,Nâu,5,4,AWD,Xăng,3.0,4850.0
Audi,2020,Hà Nội,25000.0,Nhập khẩu,SUV,Số tự động,Trắng,Nâu,7,5,AWD,Xăng,3.0,2699.0
Audi,2020,TP HCM,0.0,Nhập khẩu,Sedan,Số tự động,Trắng,Nâu,5,4,FWD,Xăng,2.0,1930.0
Audi,2016,Hà Nội,83000.0,Nhập khẩu,Crossover,Số tự động,Trắng,Nhiều màu,5,5,AWD,Xăng,2.0,665.0
Audi,2008,Hà Nội,150000.0,Nhập khẩu,Sedan,Số tự động,Trắng,Nâu,5,4,FWD,Xăng,1.8,320.0
Audi,2022,Hà Nội,0.0,Nhập khẩu,Crossover,Số tự động,Trắng,Màu khác,5,5,FWD,Xăng,1.4,1800.0
Audi,2015,TP HCM,60000.0,Nhập khẩu,SUV,Số tự động,Trắng,Đen,7,5,AWD,Xăng,3.0,1380.0
Audi,2023,TP HCM,0.0,Nhập khẩu,SUV,Số tự động,Đen,Đen,7,5,AWD,Xăng,2.0,3300.0
Audi,2008,Hà Nội,70000.0,Nhập khẩu,Convertible/Cabriolet,Số tự động,Trắng,Màu khác,2,2,AWD,Xăng,2.0,710.0
Audi,2020,Hà Nội,20000.0,Nhập khẩu,Sedan,Số tự động,Đen,Đen,5,4,FWD,Xăng,2.0,1680.0
Audi,2022,TP HCM,0.0,Nhập khẩu,Sedan,Số tự động,Xám,Đen,5,4,FWD,Xăng,2.0,1930.0
Audi,2022,TP HCM,0.0,Nhập khẩu,Sedan,Số tự động,Đen,Nâu,5,4,AWD,Xăng,3.0,4100.0
Audi,2016,Hà Nội,55000.0,Nhập khẩu,Crossover,Số tự động,Trắng,Nâu,5,5,AWD,Xăng,2.0,720.0
Audi,2022,TP HCM,17000.0,Nhập khẩu,Sedan,Số tự động,Đen,Nâu,5,4,FWD,Xăng,2.0,1460.0
Audi,2016,Hà Nội,86000.0,Nhập khẩu,SUV,Số tự động,Trắng,Nâu,5,5,AWD,Xăng,2.0,838.0
Audi,2023,TP HCM,2800.0,Nhập khẩu,SUV,Số tự động,Cam,Đen,5,5,AWD,Xăng,3.0,3780.0
Audi,2017,Hà Nội,120000.0,Nhập khẩu,SUV,Số tự động,Đen,Nâu,7,5,AWD,Xăng,2.0,1390.0
Audi,2016,Hà Nội,10000.0,Nhập khẩu,SUV,Số tự động,Đen,Nâu,7,5,AWD,Xăng,2.0,1330.0
Audi,2009,Hà Nội,80000.0,Nhập khẩu,Convertible/Cabriolet,Số tự động,Trắng,Nâu,4,2,AWD,Xăng,2.0,750.0
Audi,2014,Hà Nội,70000.0,Nhập khẩu,Sedan,Số tự động,Đen,Đen,5,4,AWD,Xăng,3.0,1095.0
Audi,2010,Đồng Nai,100000.0,Nhập khẩu,SUV,Số tự động,Trắng,Đen,5,5,AWD,Xăng,2.0,390.0
Audi,2013,Hà Nội,88000.0,Nhập khẩu,SUV,Số tự động,Đỏ,Đen,5,5,AWD,Xăng,2.0,599.0
Audi,2020,Hà Nội,30000.0,Nhập khẩu,Crossover,Số tự động,Trắng,Nâu,5,5,FWD,Xăng,1.4,1330.0
Audi,2022,Hà Nội,0.0,Nhập khẩu,Sedan,Số tự động,Đen,Màu khác,5,4,AWD,Xăng,3.0,4750.0
Audi,2020,Hà Nội,25000.0,Nhập khẩu,SUV,Số tự động,Trắng,Nâu,7,5,AWD,Xăng,3.0,2679.0
Audi,2017,Hà Nội,59000.0,Nhập khẩu,Sedan,Số tự động,Đen,Đen,5,4,FWD,Xăng,2.0,790.0
Audi,2023,TP HCM,0.0,Nhập khẩu,SUV,Số tự động,Đen,Nâu,7,5,AWD,Xăng,2.0,3300.0
Audi,2022,TP HCM,0.0,Nhập khẩu,Sedan,Số tự động,Nâu,Nâu,5,4,FWD,Xăng,2.0,2084.0
Audi,2022,TP HCM,0.0,Nhập khẩu,Sedan,Số tự động,Đen,Nâu,5,4,FWD,Xăng,2.0,2084.0
Audi,2022,TP HCM,0.0,Nhập khẩu,Sedan,Số tự động,Đỏ,Đen,5,4,FWD,Xăng,2.0,1600.0
Audi,2008,TP HCM,97000.0,Nhập khẩu,SUV,Số tự động,Trắng,Nâu,7,5,AWD,Xăng,3.6,370.0
Audi,2021,Hà Nội,0.0,Nhập khẩu,Sedan,Số tự động,Trắng,Màu khác,5,4,FWD,Xăng,2.0,2012.0
Audi,2012,Hà Nội,120000.0,Nhập khẩu,SUV,Số tự động,Trắng,Nâu,5,5,AWD,Xăng,2.0,555.0
Audi,2013,TP HCM,106000.0,Nhập khẩu,Sedan,Số tự động,Xanh,Đen,5,4,FWD,Xăng,1.8,430.0
Audi,2022,Hà Nội,0.0,Nhập khẩu,Sedan,Số tự động,Bạc,Màu khác,5,4,AWD,Xăng,3.0,4750.0
Audi,2016,Hà Nội,56000.0,Nhập khẩu,SUV,Số tự động,Đen,Nâu,7,5,AWD,Xăng,2.0,1390.0
Audi,2010,Hà Nội,96000.0,Nhập khẩu,Hatchback,Số tự động,Kem,Xám,4,3,FWD,Xăng,1.4,350.0
Audi,2022,Hà Nội,0.0,Nhập khẩu,SUV,Số tự động,Trắng,Đen,5,5,AWD,Xăng,2.0,2250.0
Audi,2014,Hà Nội,130000.0,Nhập khẩu,SUV,Số tự động,Đen,Đen,7,5,AWD,Xăng,3.0,720.0
Audi,2012,TP HCM,80000.0,Nhập khẩu,SUV,Số tự động,Trắng,Đen,7,5,AWD,Xăng,3.0,720.0
Audi,2022,Hà Nội,0.0,Nhập khẩu,SUV,Số tự động,Đen,Màu khác,5,5,AWD,Xăng,2.0,2610.0
Audi,2013,TP HCM,90000.0,Nhập khẩu,Sedan,Số tự động,Đen,Kem,5,4,FWD,Xăng,2.0,585.0
Audi,2021,Hà Nội,0.0,Nhập khẩu,Sedan,Số tự động,Trắng,Đen,5,4,AWD,Xăng,3.0,2988.0
Audi,2015,TP HCM,58000.0,Nhập khẩu,Sedan,Số tự động,Đen,Nâu,5,4,FWD,Xăng,1.8,779.0
Audi,2019,Hà Nội,55000.0,Nhập khẩu,SUV,Số tự động,Trắng,Đen,7,5,AWD,Xăng,2.0,1850.0
Audi,2021,Hà Nội,0.0,Nhập khẩu,SUV,Số tự động,Đen,Nâu,5,5,AWD,Xăng,3.0,3537.0
Audi,2017,TP HCM,63000.0,Nhập khẩu,Crossover,Số tự động,Đỏ,Đen,5,5,FWD,Xăng,1.4,819.0
Audi,2023,TP HCM,0.0,Nhập khẩu,SUV,Số tự động,Nâu,Nâu,7,5,AWD,Xăng,2.0,3300.0
Audi,2021,TP HCM,11000.0,Nhập khẩu,Sedan,Số tự động,Đen,Đen,5,4,FWD,Xăng,2.0,1799.0
Audi,2013,Hà Nội,10000.0,Nhập khẩu,Crossover,Số tự động,Trắng,Kem,5,5,AWD,Xăng,2.0,590.0
Audi,2014,Hà Nội,90000.0,Nhập khẩu,Sedan,Số tự động,Bạc,Nâu,5,4,FWD,Xăng,2.0,560.0
Audi,2016,Hà Nội,70000.0,Nhập khẩu,Sedan,Số tự động,Trắng,Nâu,5,4,FWD,Xăng,1.8,789.0
Audi,2012,Gia Lai,80000.0,Nhập khẩu,SUV,Số tự động,Trắng,Đen,5,5,AWD,Xăng,2.0,495.0
Audi,2012,Hà Nội,80000.0,Nhập khẩu,SUV,Số tự động,Trắng,Đen,7,5,AWD,Xăng,3.0,720.0
Audi,2008,TP HCM,130000.0,Nhập khẩu,Sedan,Số tự động,Đỏ,Đỏ,5,4,AWD,Xăng,2.0,290.0
Audi,2022,TP HCM,0.0,Nhập khẩu,Sedan,Số tự động,Trắng,Nâu,5,4,AWD,Xăng,3.0,4500.0
Audi,2015,Hà Nội,80000.0,Nhập khẩu,SUV,Số tự động,Trắng,Đen,7,5,AWD,Xăng,3.0,1299.0
Audi,2014,Hà Nội,1.0,Nhập khẩu,Sedan,Số tự động,Nâu,Kem,5,4,AWD,Xăng,2.0,599.0
Audi,2022,TP HCM,0.0,Nhập khẩu,Sedan,Số tự động,Trắng,Nâu,5,4,AWD,Xăng,3.0,4781.0
Audi,2022,TP HCM,0.0,Nhập khẩu,Sedan,Số tự động,Trắng,Nâu,5,4,FWD,Xăng,2.0,2084.0
Audi,2022,TP HCM,0.0,Nhập khẩu,Sedan,Số tự động,Đen,Nâu,5,4,AWD,Xăng,3.0,3149.0
Audi,2021,Hà Nội,18000.0,Nhập khẩu,Sedan,Số tự động,Trắng,Nâu,5,4,FWD,Xăng,2.0,1799.0
Audi,2022,TP HCM,0.0,Nhập khẩu,Sedan,Số tự động,Xám,Nâu,5,4,FWD,Xăng,2.0,2084.0
Audi,2022,TP HCM,0.0,Nhập khẩu,Sedan,Số tự động,Đen,Nâu,5,4,FWD,Xăng,2.0,1960.0
Audi,2022,TP HCM,0.0,Nhập khẩu,Sedan,Số tự động,Trắng,Nâu,5,4,FWD,Xăng,2.0,2080.0
Audi,2016,Hà Nội,83000.0,Nhập khẩu,Crossover,Số tự động,Trắng,Nâu,5,5,AWD,Xăng,2.0,645.0
Audi,2017,Hà Nội,48000.0,Nhập khẩu,Coupe,Số tự động,Đỏ,Đen,4,2,FWD,Xăng,2.0,1499.0
Audi,2020,Hà Nội,35000.0,Nhập khẩu,SUV,Số tự động,Trắng,Tím,5,5,AWD,Xăng,3.0,3180.0
Audi,2010,Hà Nội,100000.0,Nhập khẩu,Hatchback,Số tự động,Trắng,Đen,4,3,FWD,Xăng,1.4,350.0
Audi,2023,TP HCM,0.0,Nhập khẩu,Sedan,Số tự động,Trắng,Nâu,5,4,FWD,Xăng,2.0,2080.0
Audi,2022,TP HCM,17000.0,Nhập khẩu,Sedan,Số tự động,Đen,Nâu,5,4,FWD,Xăng,2.0,1488.0
Audi,2017,Hà Nội,35398.0,Nhập khẩu,Sedan,Số tự động,Đen,Đen,5,4,AWD,Xăng,2.0,1395.0
Audi,2021,TP HCM,14000.0,Nhập khẩu,Sedan,Số tự động,Đen,Đen,5,4,FWD,Xăng,2.0,1799.0
Audi,2022,TP HCM,0.0,Nhập khẩu,Sedan,Số tự động,Xám,Nâu,5,4,AWD,Xăng,3.0,4500.0
Audi,2012,Hà Nội,150000.0,Nhập khẩu,Sedan,Số tự động,Đen,Đen,5,4,AWD,Xăng,2.0,425.0
Audi,2014,Hà Nội,110000.0,Nhập khẩu,Sedan,Số tự động,Nâu,Kem,5,4,AWD,Xăng,2.0,600.0
